"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"41","2020_Q2",179.99746031746,"Down",3.588e+09,-1.257e+09,2.331e+09,-1.702e+09,-1.33e+09,-2.54e+08,-1.18e+08,6.29e+08,-4.5e+07,-4.5e+07,5.84e+08,5.9e+08,-9.7e+07,4.93e+08,4.93e+08,4.93e+08,4.93e+08,4.048e+09,3.964e+09,8.4e+07,2.646e+09,2.646e+09,3.359e+09,6.83e+08,6.83e+08,1.0736e+10,2.607e+09,1.6097e+10,9.025e+09,4.107e+09,1.428e+09,1.8704e+10,2.944e+10,1.609e+09,7.36e+08,2.27e+08,2.16e+08,4.3e+08,1.103e+09,4.162e+09,9.404e+09,2.759e+09,2.759e+09,1.2163e+10,1.6325e+10,1.714e+09,1.2024e+10,-6.23e+08,1.3115e+10,1.3115e+10,2.944e+10,4.93e+08,4.93e+08,1.98e+08,5.2e+07,-1.52e+08,5.91e+08,-1.44e+08,4e+06,-2.3e+07,-1.63e+08,-2.15e+08,-4.96e+08,-5.7e+07,-7.68e+08,-3.4e+08,-3.4e+08,-3.3e+07,-3.73e+08,8.27e+08,1.0507e+10,6.28e+08,0.64967,0.17531,0.1374,0.03759,0.01675,1.27383,2.57953,1.24476,0.3569,1.31537,1.29839,9.57311,34.992,1.67556,0.57364,6,0.02684,0.02381,0.43611,7.81016,10.26868
"42","2020_Q3",190.28828125,"Up",2.764e+09,-1.216e+09,1.548e+09,-1.568e+09,-1.225e+09,-2.33e+08,-1.1e+08,-2e+07,-6.7e+07,-6.7e+07,-8.7e+07,-8.7e+07,4e+06,-8.3e+07,-8.3e+07,-8.3e+07,-8.3e+07,6.619e+09,6.539e+09,8e+07,2.203e+09,2.203e+09,3.442e+09,5.37e+08,5.37e+08,1.2801e+10,2.527e+09,1.6155e+10,9.074e+09,4.012e+09,1.499e+09,1.8682e+10,3.1483e+10,1.593e+09,6.35e+08,2.14e+08,2.16e+08,5.28e+08,1.11e+09,4.405e+09,1.1811e+10,2.513e+09,2.513e+09,1.4324e+10,1.8729e+10,1.744e+09,1.1725e+10,-7.15e+08,1.2754e+10,1.2754e+10,3.1483e+10,-8.3e+07,-8.3e+07,1.93e+08,1.86e+08,3.24e+08,6.2e+08,-1.09e+08,4e+06,-3e+06,-1.17e+08,-2.16e+08,2.297e+09,-2.5e+07,2.056e+09,2.559e+09,2.559e+09,1.6e+07,2.575e+09,1.73e+08,1.2921e+10,3.84e+08,0.56006,-0.00724,-0.03003,-0.00651,-0.00264,-4.62651,2.90602,1.46848,0.41041,-0.2211,-0.21836,7.36281,33.97443,1.02291,0.57539,3,0.00472,0.01362,-2.60241,36.42775,-315.1
"43","2020_Q4",222.35359375,"Up",3.737e+09,-1.276e+09,2.461e+09,-1.6e+09,-1.244e+09,-2.42e+08,-1.14e+08,8.61e+08,-7.9e+07,-7.9e+07,7.82e+08,7.8e+08,-1.59e+08,6.21e+08,6.21e+08,6.21e+08,6.21e+08,7.161e+09,7.083e+09,7.8e+07,2.426e+09,2.426e+09,3.459e+09,4.99e+08,4.99e+08,1.3545e+10,2.529e+09,1.6212e+10,9.128e+09,3.917e+09,1.54e+09,1.8741e+10,3.2286e+10,1.804e+09,6.47e+08,2.61e+08,2.16e+08,6.8e+08,1.119e+09,4.689e+09,1.2008e+10,2.603e+09,2.603e+09,1.4611e+10,1.93e+10,1.774e+09,1.2129e+10,-9.17e+08,1.2986e+10,1.2986e+10,3.2286e+10,6.21e+08,6.21e+08,1.98e+08,3e+07,-2e+07,8.29e+08,-6.9e+07,2e+06,0,-6.9e+07,-2.16e+08,-5e+06,-2.1e+07,-2.42e+08,5.18e+08,5.18e+08,2.6e+07,5.44e+08,1.059e+09,1.3127e+10,1.129e+09,0.65855,0.2304,0.16618,0.04782,0.01923,1.81804,2.88868,1.48622,0.40658,1.65291,1.63335,9.94677,34.56481,3.00506,0.57493,7,0.02915,0.03932,0.34783,5.63362,6.92915
"44","2021_Q1",236.024754098361,"Up",4.262e+09,-1.545e+09,2.717e+09,-1.947e+09,-1.562e+09,-2.55e+08,-1.3e+08,7.7e+08,-7.8e+07,-7.8e+07,6.92e+08,6.71e+08,-1.03e+08,5.68e+08,5.68e+08,5.68e+08,5.68e+08,3.024e+09,2.943e+09,8.1e+07,2.701e+09,2.701e+09,3.494e+09,4.88e+08,4.88e+08,9.707e+09,2.752e+09,2.1871e+10,1.2778e+10,5.554e+09,2.009e+09,2.4623e+10,3.433e+10,4.28e+09,8.1e+08,2.07e+08,2.37e+08,3.026e+09,7.61e+08,5.041e+09,1.323e+10,2.975e+09,2.975e+09,1.6205e+10,2.1246e+10,1.779e+09,1.2462e+10,-1.157e+09,1.3084e+10,1.3084e+10,3.433e+10,5.68e+08,5.68e+08,2.23e+08,1.85e+08,2.61e+08,1.237e+09,-1.65e+08,-3e+06,-4.196e+09,-4.352e+09,-2.16e+08,-8.07e+08,-3.4e+07,-1.057e+09,-4.172e+09,-4.172e+09,3.2e+07,-4.14e+09,9.93e+08,1.3991e+10,1.192e+09,0.63749,0.18067,0.13327,0.04341,0.01655,2.09859,1.92561,1.62382,0.40754,1.51024,1.49003,11.33209,34.78862,3.16937,0.57432,3,0.02609,0.03967,0.38028,11.04431,14.24286
"45","2021_Q2",252.354444444444,"Up",3.953e+09,-1.444e+09,2.509e+09,-2.044e+09,-1.575e+09,-2.88e+08,-1.81e+08,4.65e+08,-9.2e+07,-9.2e+07,3.73e+08,3.67e+08,-6.5e+07,3.02e+08,3.02e+08,3.02e+08,3.02e+08,2.312e+09,2.238e+09,7.4e+07,2.616e+09,2.616e+09,3.473e+09,5.78e+08,5.78e+08,8.979e+09,2.71e+09,2.1766e+10,1.2803e+10,5.378e+09,2.066e+09,2.4476e+10,3.3455e+10,3.938e+09,7.67e+08,2.53e+08,2.37e+08,2.681e+09,1.5e+07,3.953e+09,1.3059e+10,2.941e+09,2.941e+09,1.6e+10,1.9953e+10,1.844e+09,1.2525e+10,-8.67e+08,1.3502e+10,1.3502e+10,3.3455e+10,3.02e+08,3.02e+08,2.76e+08,1.45e+08,-2.71e+08,4.52e+08,-8.3e+07,7e+06,-2.7e+07,-9.6e+07,-2.38e+08,-7.43e+08,-7.2e+07,-1.053e+09,-6.97e+08,-6.97e+08,-8e+06,-7.05e+08,7.41e+08,1.3074e+10,4.52e+08,0.63471,0.11763,0.0764,0.02237,0.00903,1.49669,2.27144,1.47778,0.39079,0.80255,0.7912,10.50492,35.88095,1.20117,0.63247,3,0.01829,0.01531,0.78808,14.52362,23.14409
"46","2021_Q3",264.461875,"Up",4.294e+09,-1.522e+09,2.772e+09,-1.964e+09,-1.505e+09,-3.1e+08,-1.49e+08,8.08e+08,-7e+07,-7e+07,7.38e+08,6.62e+08,-7e+07,5.92e+08,5.92e+08,5.92e+08,5.92e+08,2.325e+09,2.241e+09,8.4e+07,2.714e+09,2.714e+09,3.431e+09,5.62e+08,5.62e+08,9.032e+09,2.738e+09,2.1928e+10,1.2802e+10,5.261e+09,2.114e+09,2.4666e+10,3.3698e+10,4.246e+09,8.64e+08,3e+08,2.38e+08,2.844e+09,6e+06,4.252e+09,1.2734e+10,2.892e+09,2.892e+09,1.5626e+10,1.9878e+10,1.882e+09,1.2881e+10,-9.43e+08,1.382e+10,1.382e+10,3.3698e+10,5.92e+08,5.92e+08,2.41e+08,2.1e+07,24000000.0000001,8.78e+08,-1.06e+08,-1e+07,-7.7e+07,-2.02e+08,-2.37e+08,-4.1e+08,-2.9e+07,-6.76e+08,0,0,3e+06,3e+06,1.049e+09,1.274e+10,1.037e+09,0.64555,0.18817,0.13787,0.04284,0.01757,1.75169,2.12418,1.43835,0.37806,1.57321,1.55096,11.41111,36.72602,2.75578,0.62982,6,0.02815,0.03521,0.40034,9.9285,12.88985
"47","2021_Q4",260.21828125,"Down",4.16e+09,-1.518e+09,2.642e+09,-2.052e+09,-1.602e+09,-3.06e+08,-1.44e+08,5.9e+08,-7.9e+07,-7.9e+07,5.11e+08,4.95e+08,-5.7e+07,4.38e+08,4.38e+08,4.38e+08,4.38e+08,2.639e+09,2.563e+09,7.6e+07,2.817e+09,2.817e+09,3.434e+09,5.7e+08,5.7e+08,9.46e+09,2.746e+09,2.1939e+10,1.2893e+10,5.058e+09,2.128e+09,2.4685e+10,3.4145e+10,4.427e+09,9.34e+08,3.73e+08,2.38e+08,2.882e+09,2.2e+07,4.449e+09,1.2629e+10,2.889e+09,2.889e+09,1.5518e+10,1.9967e+10,1.913e+09,1.3081e+10,-8.16e+08,1.4178e+10,1.4178e+10,3.4145e+10,4.38e+08,4.38e+08,2.35e+08,2.43e+08,1.7e+07,9.33e+08,-1.3e+08,8e+06,-1.22e+08,-2.47e+08,-2.38e+08,1.4e+07,-1.24e+08,-3.48e+08,3.38e+08,3.38e+08,-1.6e+07,3.22e+08,8.25e+08,1.2651e+10,7.69e+08,0.6351,0.14183,0.10529,0.03089,0.01283,1.75571,2.12632,1.40831,0.37051,1.16242,1.1457,11.04034,37.62739,2.04087,0.63163,4,0.02275,0.02588,0.54338,12.13576,16.96949
"48","2022_Q1",257.242258064516,"Down",4.701e+09,-1.656e+09,3.045e+09,-2.221e+09,-1.745e+09,-3.31e+08,-1.45e+08,8.24e+08,-6.2e+07,-6.2e+07,7.62e+08,7.57e+08,-9.5e+07,6.62e+08,6.62e+08,6.62e+08,6.62e+08,3.019e+09,2.944e+09,7.5e+07,3.022e+09,3.022e+09,3.314e+09,6.62e+08,6.62e+08,1.0017e+10,2.833e+09,2.1781e+10,1.2918e+10,4.84e+09,2.263e+09,2.4614e+10,3.4631e+10,4.542e+09,1.129e+09,1.92e+08,2.63e+08,2.958e+09,7e+06,4.549e+09,1.2472e+10,2.733e+09,2.733e+09,1.5205e+10,1.9754e+10,1.928e+09,1.348e+10,-5.31e+08,1.4877e+10,1.4877e+10,3.4631e+10,6.62e+08,6.62e+08,2.38e+08,-6.3e+07,1.63e+08,1e+09,-2.06e+08,999999.999999996,-1.13e+08,-3.14e+08,-2.37e+08,-1.4e+07,-3.7e+07,-2.88e+08,3.98e+08,3.98e+08,-1.7e+07,3.81e+08,1.062e+09,1.2479e+10,1.114e+09,0.64773,0.17528,0.14082,0.0445,0.01912,1.68278,2.20202,1.32782,0.36034,1.75132,1.72441,12.43651,39.35714,2.94709,0.62698,8,0.02988,0.03702,0.35801,8.90772,11.48058
"49","2022_Q2",234.088548387097,"Down",4.275e+09,-1.541e+09,2.734e+09,-2.273e+09,-1.71e+09,-4.13e+08,-1.5e+08,4.61e+08,-6.1e+07,-6.1e+07,4e+08,3.86e+08,-6.3e+07,3.23e+08,3.23e+08,3.23e+08,3.23e+08,1.53e+09,1.458e+09,7.2e+07,2.991e+09,2.991e+09,3.525e+09,6.79e+08,6.79e+08,8.725e+09,2.793e+09,2.4619e+10,1.5228e+10,5.43e+09,2.359e+09,2.7412e+10,3.6137e+10,4.194e+09,1.084e+09,1.73e+08,2.63e+08,2.674e+09,2.14e+08,4.408e+09,1.3885e+10,2.798e+09,2.798e+09,1.6683e+10,2.1091e+10,1.985e+09,1.354e+10,-4.79e+08,1.5046e+10,1.5046e+10,3.6137e+10,3.23e+08,3.23e+08,2.42e+08,8.1e+07,-4.43e+08,2.03e+08,-1.19e+08,2e+06,-2.563e+09,-2.682e+09,-2.62e+08,1.33e+09,-7.5e+07,9.93e+08,-1.486e+09,-1.486e+09,-16221961.0610377,-1.486e+09,7.03e+08,1.4099e+10,2.04e+08,0.63953,0.10784,0.07556,0.02147,0.00894,0.63158,1.97936,1.40177,0.39015,0.85608,0.844,11.33051,39.87808,0.54068,0.69441,4,0.01831,0.00639,0.81115,17.87909,27.26464
"50","2022_Q3",208.78875,"Down",4.493e+09,-1.667e+09,2.826e+09,-2.05e+09,-1.539e+09,-3.51e+08,-1.6e+08,7.76e+08,-5.2e+07,-5.2e+07,7.24e+08,7.2e+08,-6.4e+07,6.56e+08,6.56e+08,6.56e+08,6.56e+08,1.127e+09,1.044e+09,8.3e+07,3.145e+09,3.145e+09,3.749e+09,8.04e+08,8.04e+08,8.825e+09,2.803e+09,2.4404e+10,1.5115e+10,5.245e+09,2.419e+09,2.7207e+10,3.6032e+10,4.397e+09,1.16e+09,3e+08,2.63e+08,2.674e+09,7e+06,4.404e+09,1.3374e+10,2.58e+09,2.58e+09,1.5954e+10,2.0358e+10,2.027e+09,1.3933e+10,-2.86e+08,1.5674e+10,1.5674e+10,3.6032e+10,6.56e+08,6.56e+08,2.53e+08,3.7e+07,-4.17e+08,5.29e+08,-1.43e+08,-1.1e+07,4.76837158203125e-07,-1.52e+08,-2.63e+08,-4.58e+08,-3.2e+07,-7.53e+08,-3.76e+08,-3.76e+08,-3.8e+07,-4.14e+08,1.029e+09,1.3381e+10,5.33e+08,0.62898,0.17271,0.146,0.04185,0.01821,0.8125,2.00386,1.29884,0.37136,1.73407,1.71638,11.87682,41.43273,1.40893,0.69522,4,0.02905,0.01685,0.40091,11.90865,15.79124
