"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"41","2020_Q2",40.968253968254,"Up",1.3159e+10,-4.695e+09,8.464e+09,-4.885e+09,-2.999e+09,-2.48e+09,-5.19e+08,-1.666e+09,-3.6e+07,3.579e+09,1.07e+08,9.5e+07,-1.78e+08,2.73e+08,1.2e+07,3.686e+09,3.686e+09,-7.6e+08,2.926e+09,2.926e+09,2.926e+09,2.926e+09,2.8035e+10,8.587e+09,1.9448e+10,4.878e+09,4.878e+09,1.344e+09,7.459e+09,7.459e+09,4.1716e+10,2.669e+09,4.8107e+10,2.107e+09,3.3578e+10,8.459e+09,5.0776e+10,9.2492e+10,5.545e+09,2.016e+09,7.94e+08,2.735e+09,4e+09,1.5052e+10,1.0646e+10,4.406e+09,2.4597e+10,1.4497e+10,1.8975e+10,7.956e+09,8.919e+09,2.1e+09,3.3472e+10,5.8069e+10,4.0321e+10,-5.083e+09,-8.15e+08,3.4423e+10,3.4423e+10,9.2492e+10,2.926e+09,4.61e+08,5.18e+08,3.95e+08,8.1e+07,4.2e+07,-3.18e+08,5.15e+08,3.4e+07,-4.5e+07,-8.22e+08,3.587e+09,-1.98e+08,-2.02e+08,-2.02e+08,2.226e+09,4.308e+09,-2.082e+09,-1.63e+08,-1.63e+08,5.7e+07,1.922e+09,-6.19e+09,-3.47e+09,-7.82e+08,2e+06,-7.84e+08,-2.1e+08,-8.668e+09,-3.159e+09,-3.159e+09,-3.159e+09,4.04e+09,1.8497e+10,4.284e+09,0.64321,0.27198,0.22236,0.085,0.03164,1.46411,1.69598,1.68692,0.19998,0.68912,0.68476,3.09915,8.10716,1.00895,0.06137,0.05959,-2.36089,-2.66499
"42","2020_Q3",41.0409375,"Up",1.2005e+10,-4.241e+09,7.764e+09,-4.384e+09,-2.734e+09,-2.279e+09,-4.55e+08,-1.57e+09,-3.8e+07,3.38e+09,1.54e+08,8.4e+07,-1.58e+08,2.42e+08,7e+07,3.534e+09,3.534e+09,-6.56e+08,2.878e+09,2.878e+09,2.878e+09,2.878e+09,2.7062e+10,8.475e+09,1.8587e+10,4.33e+09,4.33e+09,1.353e+09,7.308e+09,7.308e+09,4.0053e+10,2.621e+09,4.7752e+10,1.906e+09,3.3612e+10,8.338e+09,5.0373e+10,9.0426e+10,5.444e+09,1.935e+09,8.19e+08,2.69e+09,1.499e+09,1.5145e+10,1.0638e+10,4.507e+09,2.2088e+10,1.4494e+10,1.8311e+10,8.048e+09,8.227e+09,2.036e+09,3.2805e+10,5.4893e+10,4.0617e+10,-4.384e+09,-7e+08,3.5533e+10,3.5533e+10,9.0426e+10,2.878e+09,4.57e+08,2.73e+08,3.84e+08,4.7e+07,-1.58e+08,1.92e+08,5.69e+08,-9e+06,-8.1e+07,-2.87e+08,3.8e+09,-6.2e+07,-1.89e+08,-1.89e+08,8.81e+08,3.146e+09,-2.265e+09,5.96046447753906e-08,-5.96046447753906e-08,2.4e+07,8.43e+08,-2.5e+09,9.5367431640625e-07,-5.32e+08,3.32e+08,-8.64e+08,-2.39e+08,-4.757e+09,-1.14e+08,-1.14e+08,-1.14e+08,3.837e+09,1.5993e+10,4.623e+09,0.64673,0.28155,0.23973,0.081,0.03183,1.60632,1.81334,1.54485,0.17686,0.67845,0.67606,2.83003,8.37647,1.08982,0.06249,0.0662,-2.88481,-3.27485
"43","2020_Q4",39.06109375,"Down",1.1983e+10,-4.212e+09,7.771e+09,-4.357e+09,-2.649e+09,-2.192e+09,-4.57e+08,-1.546e+09,-3.4e+07,3.414e+09,3e+07,8.8e+07,-1.3e+08,2.18e+08,-5.8e+07,3.444e+09,3.444e+09,-6.7e+08,2.774e+09,2.774e+09,2.774e+09,2.774e+09,2.8574e+10,1.0366e+10,1.8208e+10,4.569e+09,4.569e+09,1.212e+09,6.952e+09,6.952e+09,4.1307e+10,2.535e+09,4.7552e+10,1.744e+09,3.3453e+10,8.446e+09,5.0087e+10,9.1394e+10,6.38e+09,2.393e+09,1.047e+09,2.94e+09,4.506e+09,1.5051e+10,1.071e+10,4.341e+09,2.5937e+10,1.1578e+10,1.8171e+10,7.938e+09,8.285e+09,1.948e+09,2.9749e+10,5.5686e+10,4.0691e+10,-3.874e+09,-1.109e+09,3.5708e+10,3.5708e+10,9.1394e+10,2.774e+09,4.46e+08,3.57e+08,3.91e+08,-2.5e+07,-9e+06,6.6e+08,-3.1e+08,1.18e+08,4.5e+08,4.02e+08,4.237e+09,-1.27e+08,-1.71e+08,-1.71e+08,3.15e+08,2.991e+09,-2.676e+09,-7.4e+07,-7.4e+07,1.22e+08,2.36e+08,0,0,-1.01e+09,1e+06,-1.011e+09,-7.3e+07,-2.602e+09,1.871e+09,1.871e+09,1.871e+09,3.86e+09,1.6084e+10,5.063e+09,0.6485,0.2849,0.23149,0.07769,0.03035,1.82516,1.59259,1.55948,0.17599,0.65595,0.65363,2.83353,8.4436,1.19721,0.06136,0.07237,-3.23575,-3.65847
"44","2021_Q1",44.9826229508197,"Up",1.2154e+10,-4.47e+09,7.684e+09,-4.437e+09,-2.712e+09,-2.218e+09,-4.94e+08,-1.565e+09,-3.3e+07,3.247e+09,5.9e+07,6.8e+07,-1.19e+08,1.87e+08,-9e+06,3.306e+09,3.306e+09,-6.7e+08,2.636e+09,2.636e+09,2.636e+09,2.636e+09,2.9419e+10,1.1809e+10,1.761e+10,5.472e+09,5.472e+09,1.282e+09,7.4e+09,7.4e+09,4.3573e+10,2.453e+09,4.8827e+10,1.576e+09,3.3806e+10,9.455e+09,5.128e+10,9.4853e+10,6.179e+09,2.218e+09,8.39e+08,3.122e+09,3.005e+09,1.6147e+10,1.1406e+10,4.741e+09,2.5331e+10,1.1578e+10,2.0024e+10,9.04e+09,8.837e+09,2.147e+09,3.1602e+10,5.6933e+10,4.1202e+10,-2.763e+09,-5.19e+08,3.792e+10,3.792e+10,9.4853e+10,2.636e+09,4.44e+08,3.38e+08,3.99e+08,-1.41e+08,8e+07,3.84e+08,-8.81e+08,-5.9e+07,-1.83e+08,1.507e+09,3.802e+09,-2.04e+08,-2.08e+08,-2.08e+08,7.82e+08,3.161e+09,-2.379e+09,-9e+07,-90000000.0000001,1.1e+07,4.99e+08,-1.5e+09,1.19209289550781e-07,3.2e+08,3.2e+08,0,-1.54e+08,-2.859e+09,1.442e+09,1.442e+09,1.442e+09,3.691e+09,1.4583e+10,4.541e+09,0.63222,0.26715,0.21688,0.06951,0.02779,1.72269,1.72015,1.5014,0.15374,0.62361,0.6214,2.87533,8.9709,1.07428,0.05737,0.06261,-4.01951,-4.56914
"45","2021_Q2",50.7565079365079,"Up",1.1929e+10,-4.348e+09,7.581e+09,-5.011e+09,-2.761e+09,-2.217e+09,-5.44e+08,-1.612e+09,-3.6e+07,2.57e+09,1.11e+08,6.2e+07,-1.12e+08,1.74e+08,4.9e+07,2.681e+09,2.681e+09,-5.07e+08,2.174e+09,2.174e+09,2.174e+09,2.174e+09,3.0012e+10,1.0822e+10,1.919e+10,3.98e+09,3.98e+09,1.303e+09,7.694e+09,7.694e+09,4.2989e+10,2.412e+09,4.9602e+10,1.581e+09,3.4535e+10,9.348e+09,5.2014e+10,9.5003e+10,6.082e+09,2.294e+09,8.1e+08,2.978e+09,5.002e+09,1.5907e+10,1.1271e+10,4.636e+09,2.6991e+10,9.564e+09,2.0291e+10,9.202e+09,8.786e+09,2.303e+09,2.9855e+10,5.6846e+10,4.136e+10,-2.756e+09,-4.47e+08,3.8157e+10,3.8157e+10,9.5003e+10,2.174e+09,4.51e+08,2.72e+08,4.38e+08,-1.2e+08,-4.6e+07,1.199e+09,1.526e+09,-2.1e+07,7.3e+07,-3.79e+08,4.096e+09,-1.67e+08,-1.71e+08,-1.71e+08,-1.742e+09,2.082e+09,-3.824e+09,-8.3e+08,-8.3e+08,2.9e+07,-2.71e+09,-3652375647.64078,157074118.627003,-7.99e+08,1e+06,-8e+08,-5.4e+07,-2.373e+09,-9.87e+08,-9.87e+08,-9.87e+08,3.021e+09,1.4566e+10,4.56e+09,0.63551,0.21544,0.18224,0.05698,0.02288,2.09752,1.59272,1.48979,0.15332,0.51395,0.51225,2.82009,9.02057,1.07801,0.05059,0.06245,-5.11288,-6.01012
"46","2021_Q3",54.5146875,"Up",1.196e+10,-4.176e+09,7.784e+09,-4.561e+09,-2.761e+09,-2.277e+09,-4.84e+08,-1.527e+09,-3.9e+07,3.223e+09,3.2e+07,4.8e+07,-1.13e+08,1.61e+08,-1.6e+07,3.255e+09,3.255e+09,-7.1e+08,2.545e+09,2.545e+09,2.545e+09,2.545e+09,3.0588e+10,1.1793e+10,1.8795e+10,4.307e+09,4.307e+09,1.436e+09,7.58e+09,7.58e+09,4.3911e+10,2.386e+09,4.9304e+10,1.462e+09,3.4733e+10,9e+09,5.169e+10,9.5601e+10,5.925e+09,1.867e+09,7.63e+08,3.295e+09,5e+09,1.6343e+10,1.1552e+10,4.791e+09,2.7268e+10,9.554e+09,1.9658e+10,9.294e+09,8.084e+09,2.28e+09,2.9212e+10,5.648e+10,4.169e+10,-2.351e+09,-2.18e+08,3.9121e+10,3.9121e+10,9.5601e+10,2.545e+09,4.36e+08,4.15e+08,4.36e+08,2.9e+07,-5e+07,-4.22e+08,-2.81e+08,-1.24e+08,-4.31e+08,4.14e+08,2.974e+09,-1.82e+08,-1.87e+08,-1.87e+08,3.69e+08,2.665e+09,-2.296e+09,-3e+07,-3e+07,2.5e+07,1.82e+08,-4617997675.02003,92640121.6687207,-4.64e+08,3.05e+08,-7.69e+08,-1.93e+08,-2.178e+09,9.78e+08,9.78e+08,9.78e+08,3.659e+09,1.4554e+10,3.765e+09,0.65084,0.26948,0.21279,0.06505,0.02662,1.47937,1.61035,1.44373,0.15224,0.60251,0.60109,2.83144,9.2616,0.89134,0.05545,0.05134,-4.38207,-4.97487
"47","2021_Q4",55.8878125,"Up",1.2803e+10,-4.618e+09,8.185e+09,-4.72e+09,-2.92e+09,-2.317e+09,-6.03e+08,-1.697e+09,-6.1e+07,3.465e+09,1.26e+08,4.2e+07,-1.11e+08,1.53e+08,8.4e+07,3.591e+09,3.591e+09,-7.28e+08,2.863e+09,2.863e+09,2.863e+09,2.863e+09,2.3579e+10,7.35e+09,1.6229e+10,4.425e+09,4.425e+09,1.579e+09,7.477e+09,7.477e+09,3.706e+10,2.367e+09,5.4469e+10,3.716e+09,3.769e+10,8.993e+09,5.6836e+10,9.3896e+10,6.52e+09,2.44e+09,7.53e+08,3.327e+09,2e+09,1.5742e+10,1.1492e+10,4.25e+09,2.4262e+10,9.532e+09,1.9897e+10,9.397e+09,8.247e+09,2.253e+09,2.9429e+10,5.3691e+10,4.1949e+10,-1.456e+09,-2.88e+08,4.0205e+10,4.0205e+10,9.3896e+10,2.863e+09,4.86e+08,3.56e+08,4.63e+08,2e+06,-1.09e+08,1.75e+08,5e+06,-1.15e+08,3.82e+08,-9.7e+07,3.88e+09,-1.67e+08,-1.72e+08,-1.72e+08,2.549e+09,4.422e+09,-1.873e+09,-5.473e+09,-5.473e+09,-1.4e+07,-3.105e+09,-3e+09,-19363936.1239216,-5.26e+08,1e+06,-5.27e+08,-1.33e+08,-5.219e+09,-4.444e+09,-4.444e+09,-4.444e+09,3.951e+09,1.1532e+10,4.687e+09,0.6393,0.27064,0.22362,0.07121,0.03049,1.63709,1.52749,1.33543,0.12282,0.67876,0.67635,3.03532,9.53177,1.11119,0.06174,0.06543,-3.0491,-3.47677
"48","2022_Q1",55.685,"Down",1.3126e+10,-4.782e+09,8.344e+09,-4.769e+09,-2.969e+09,-2.448e+09,-5.21e+08,-1.713e+09,-7.9e+07,3.575e+09,1.6e+08,3.2e+07,-9.8e+07,1.3e+08,1.28e+08,3.735e+09,3.735e+09,-7.26e+08,3.009e+09,3.009e+09,3.009e+09,3.009e+09,2.4518e+10,9.175e+09,1.5343e+10,5.766e+09,5.766e+09,1.559e+09,7.269e+09,7.269e+09,3.9112e+10,2.338e+09,5.6047e+10,3.619e+09,3.8168e+10,9.9e+09,5.8385e+10,9.7497e+10,6.981e+09,2.362e+09,8.01e+08,3.818e+09,2.508e+09,1.6768e+10,1.2148e+10,4.62e+09,2.6257e+10,9.018e+09,2.0947e+10,1.0016e+10,8.538e+09,2.393e+09,2.9965e+10,5.6222e+10,4.2346e+10,-6.54e+08,-4.17e+08,4.1275e+10,4.1275e+10,9.7497e+10,3.009e+09,4.89e+08,-2.6e+07,4.24e+08,-2.95e+08,-1.55e+08,1.032e+09,-1.357e+09,1.6e+07,-7.7e+07,2.45e+09,4.504e+09,-1.48e+08,-1.62e+08,-1.62e+08,1.103e+09,2.613e+09,-1.51e+09,-705000000.000001,-705000000.000001,9.8e+07,3.48e+08,-5e+06,-4999999.99999976,-4.45e+08,3.36e+08,-7.81e+08,-2.57e+08,-2.269e+09,2.583e+09,2.583e+09,2.583e+09,4.064e+09,1.1526e+10,5.674e+09,0.63568,0.27236,0.22924,0.0729,0.03086,1.88568,1.48958,1.36213,0.11822,0.71371,0.71084,3.11338,9.79009,1.34583,0.06198,0.07694,-3.19685,-3.63413
"49","2022_Q2",47.4275806451613,"Down",1.29e+10,-4.847e+09,8.053e+09,-4.615e+09,-2.812e+09,-2.261e+09,-5.51e+08,-1.714e+09,-8.4e+07,3.438e+09,2.19e+08,3.2e+07,-8.9e+07,1.21e+08,1.87e+08,3.657e+09,3.657e+09,-6.77e+08,2.98e+09,2.98e+09,2.98e+09,2.98e+09,2.3346e+10,7.619e+09,1.5727e+10,6879316656.1421,6879316656.1421,7.138e+09,7.104e+09,7.104e+09,3.7588e+10,2.238e+09,5.6155e+10,3.35e+09,3.8802e+10,9.805e+09,5.8393e+10,9.5981e+10,6.308e+09,2.261e+09,8.16e+08,3.231e+09,5.06e+08,1.6424e+10,1.2017e+10,4.407e+09,2.3238e+10,8.996e+09,2.1046e+10,1.0055e+10,8.553e+09,2.438e+09,3.0042e+10,5.328e+10,42577993752.6024,5.53e+08,-4.73e+08,4.2701e+10,4.2701e+10,9.5981e+10,2.98e+09,5.33e+08,1.45e+08,4.53e+08,-9.8e+07,-2.1e+08,-2.31e+08,4.27e+08,-2.75e+08,-9.3e+07,-2.9e+08,3.427e+09,-1.21e+08,-1.22e+08,-1.22e+08,-6.16e+08,2.436e+09,-3.052e+09,-3.36e+08,-3.36e+08,5.3e+07,-1.02e+09,-2e+09,292221975.666256,-2.73e+08,704465168.075782,-2.73e+08,-1.36e+08,-3.97e+09,-1.563e+09,-1.563e+09,-1.563e+09,3.971e+09,9.502e+09,4.296e+09,0.62426,0.26651,0.23101,0.06979,0.03105,1.44161,1.61752,1.24775,0.099,0.70583,0.70349,3.05542,0.01895,1.01753,0.06199,0.05865,-3.48628,-4.02676
"50","2022_Q3",44.9875,"Down",1.272e+10,-4.671e+09,8.049e+09,-4.562e+09,-2.81e+09,-2.266e+09,-5.44e+08,-1.67e+09,-7.9e+07,3.487e+09,1.16e+08,2.3e+07,-8.8e+07,1.11e+08,9.3e+07,3.603e+09,3.603e+09,-6.3e+08,2.973e+09,2.973e+09,2.973e+09,2.973e+09,2.1113e+10,6.731e+09,1.4382e+10,6.003e+09,6.003e+09,2.059e+09,7.624e+09,7.624e+09,3.6799e+10,2.14e+09,5.5323e+10,3.079e+09,3.8679e+10,9.296e+09,5.7463e+10,9.4262e+10,6.302e+09,2.101e+09,8.37e+08,3.364e+09,2.502e+09,1.7111e+10,1.2268e+10,4.843e+09,2.5915e+10,8.969e+09,1.9882e+10,1.0045e+10,7.628e+09,2.209e+09,2.8851e+10,5.4766e+10,4.2291e+10,-2.006e+09,-7.89e+08,3.9496e+10,3.9496e+10,9.4262e+10,2.973e+09,5.16e+08,3.32e+08,4.77e+08,-4e+07,-1.05e+08,-1.36e+09,-7.35e+08,-2.31e+08,-1.57e+08,-2.37e+08,2.461e+09,-1.06e+08,-1.1e+08,-1.1e+08,1.142e+09,2.151e+09,-1.009e+09,-2.5e+07,-2.5e+07,4e+07,1.051e+09,2.008e+09,9.59e+08,-4.526e+09,3.06e+08,-4.832e+09,-3.4e+08,-4.399e+09,-886999999.999999,-886999999.999999,-886999999.999999,4.003e+09,1.1471e+10,3.167e+09,0.63278,0.27414,0.23373,0.07527,0.03154,1.06525,1.41999,1.38662,0.12169,0.70517,0.70151,3.01708,9.36812,0.75119,0.06371,0.0447,-2.40869,-2.76513
