"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","impairment_of_goodwill_intangibles","sale_of_business","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2019_Q4",16.28015625,"Up",2.625e+09,-1.924e+09,7.01e+08,-4.1e+07,-4.1e+07,-4.1e+07,6.6e+08,-1.87e+08,-1.69e+08,-2.5e+08,8.1e+07,-8.7e+07,6.9e+07,4.73e+08,-4.9e+07,0,1.6e+07,4.24e+08,-1.3e+08,4e+06,2.98e+08,2.98e+08,-8.8e+07,2.1e+08,2.1e+08,1.479e+09,1.145e+09,3.34e+08,1.503e+09,1.503e+09,4.95e+08,1.993e+09,7.2e+07,6.1e+08,1.311e+09,5.47e+09,2.1853e+10,3.0452e+10,-8.599e+09,6.1e+09,1.059e+09,4.62e+08,1.35e+08,1.209e+09,3.235e+09,2.7953e+10,3.3423e+10,2.654e+09,1.237e+09,2.36e+08,1.181e+09,1.882e+09,1.882e+09,4.55e+08,4.55e+08,4.991e+09,1.7879e+10,1.7879e+10,4.281e+09,1.198e+09,3.083e+09,2.216e+10,2.7151e+10,7.956e+09,8e+06,7.948e+09,-1.867e+09,-6.14e+08,-2.335e+09,3.14e+09,3.132e+09,6.272e+09,3.3423e+10,2.98e+08,2.62e+08,1.78e+08,-1.1e+07,1.89e+08,2.3e+07,1.7e+07,-2.8e+07,1.7e+07,1.7e+07,7.61e+08,-8.1e+08,-8.16e+08,1.14e+08,-3e+06,9.8e+07,-5.98e+08,-1.5e+07,1.29e+08,-1.44e+08,-1.143e+09,9.99e+08,-1.35e+08,-2.41e+08,-7.8e+07,-8e+06,-8.6e+07,-2.6e+07,-1.12e+08,9.22e+08,1.9761e+10,2.65e+08,0.26705,0.25143,0.08,0.03348,0.00628,1.2619,1.09597,4.32892,0.59124,0.31674,0.31484,3.95928,4.73605,0.3997,0.00993,0.00874,19.82863,27.7
"40","2020_Q1",16.4274193548387,"Up",2.431e+09,-1.871e+09,5.6e+08,-6e+07,-6e+07,-6e+07,5e+08,-3.02e+08,-1.86e+08,-2.62e+08,7.6e+07,2e+06,-1.18e+08,1.98e+08,-9.3e+07,-6.9e+07,1.9e+07,1.05e+08,-5e+07,-1.75e+08,-1.2e+08,-1.19e+08,4.2e+07,-7.7e+07,-7.7e+07,1.429e+09,1.029e+09,4e+08,1.479e+09,1.479e+09,4.87e+08,1.836e+09,8e+07,6.18e+08,1.138e+09,5.231e+09,2.2574e+10,3.1079e+10,-8.505e+09,5.843e+09,1.059e+09,4.69e+08,1.56e+08,9.66e+08,3.193e+09,2.8417e+10,3.3648e+10,2.752e+09,1.311e+09,2.01e+08,1.24e+09,1.868e+09,1.868e+09,4.76e+08,4.42e+08,5.096e+09,1.8305e+10,1.8305e+10,4.13e+09,1.213e+09,2.917e+09,2.2435e+10,2.7531e+10,7.784e+09,8e+06,7.776e+09,-1.867e+09,-6.92e+08,-2.229e+09,2.996e+09,3.121e+09,6.117e+09,3.3648e+10,-1.2e+08,2.71e+08,4.46e+08,-1.2e+07,4.58e+08,9.4e+07,4.6e+07,3.1e+07,6e+06,1.1e+07,6.91e+08,-5.42e+08,-5.19e+08,-1.84e+08,-4.8e+07,-2.78e+08,-1.004e+09,3.88e+08,-1.37e+08,5.25e+08,-1.723e+09,2.248e+09,-2.57e+08,4.1e+07,-2.72e+08,-7e+06,-2.79e+08,1e+07,-2.69e+08,7.71e+08,2.0173e+10,3.73e+08,0.23036,0.20568,-0.03167,-0.01259,-0.00229,-4.84416,1.02649,4.50074,0.59953,-0.11544,-0.11544,3.64468,4.49175,0.55922,0.00043,0.01226,24.31128,37.488
"41","2020_Q2",12.1577777777778,"Down",2.338e+09,-1.831e+09,5.07e+08,-3.8e+07,-3.8e+07,-3.8e+07,4.69e+08,-1.42e+08,-1.63e+08,-2.33e+08,7e+07,2.4e+07,-3e+06,3.27e+08,-7e+06,-6e+06,19913652.7012291,3.2e+08,-8.9e+07,-2e+06,2.29e+08,2.29e+08,-8.5e+07,1.44e+08,1.44e+08,1.872e+09,1.544e+09,3.28e+08,1.446e+09,1.446e+09,4.61e+08,1.972e+09,1.06e+08,5.97e+08,1.269e+09,5.751e+09,2.257e+10,3.1167e+10,-8.597e+09,5.821e+09,1.059e+09,4.59e+08,1.97e+08,9.38e+08,3.168e+09,2.8391e+10,3.4142e+10,2.771e+09,1.069e+09,2.47e+08,1.455e+09,2.223e+09,2.223e+09,4.38e+08,4.38e+08,5.432e+09,1.8867e+10,1.8867e+10,4.253e+09,1.105e+09,3.148e+09,2.312e+10,2.8552e+10,7.672e+09,8e+06,7.664e+09,-1.858e+09,-5.83e+08,-2.692e+09,2.539e+09,3.051e+09,5.59e+09,3.4142e+10,2.29e+08,2.68e+08,1.9e+07,2e+06,1.7e+07,-1.43e+08,-4e+07,2.3e+07,-9.9e+07,-2.7e+07,3.73e+08,-5.61e+08,-5.76e+08,-1e+07,27003583.6517006,-1.64e+08,-7.35e+08,1.175e+09,8.79e+08,2.96e+08,-1.1e+08,4.06e+08,-5e+07,1.03e+09,6.68e+08,2e+06,6.7e+08,-3.2e+07,6.38e+08,7.37e+08,2.109e+10,1.22e+08,0.21685,0.2006,0.06159,0.02576,0.00422,0.84722,1.05873,5.10769,0.61771,0.21687,0.21557,3.52108,3.8238,0.18373,0.00773,0.00394,26.07598,40.97655
"42","2020_Q3",15.6146875,"Up",2.217e+09,-1.693e+09,5.24e+08,-4e+07,-4e+07,-4e+07,4.84e+08,-3.12e+08,-1.54e+08,-2.18e+08,6.4e+07,-6e+06,-1.52e+08,1.72e+08,-6.7e+07,-2.98023223876953e-08,-2.7e+07,1.05e+08,-1.13e+08,8e+06,0,3000000.00000012,-8.6e+07,-8.3e+07,-8.3e+07,1.839e+09,1.417e+09,4.22e+08,1.414e+09,1.414e+09,5.04e+08,2.209e+09,9.2e+07,8.73e+08,1.244e+09,5.966e+09,2.2836e+10,3.1459e+10,-8.623e+09,5.764e+09,1.059e+09,5.66e+08,2.04e+08,8.02e+08,3.133e+09,2.86e+10,3.4566e+10,2.881e+09,1.207e+09,1.83e+08,1.491e+09,2.041e+09,2.041e+09,5.26e+08,5.26e+08,5.448e+09,1.9332e+10,1.9332e+10,4.269e+09,1.166e+09,3.103e+09,2.3601e+10,2.9049e+10,7.678e+09,8e+06,7.67e+09,-1.858e+09,-6.65e+08,-2.693e+09,2.462e+09,3.055e+09,5.517e+09,3.4566e+10,3000000.00000006,2.71e+08,2.96e+08,5.2e+07,2.44e+08,-1.23e+08,9999999.99999999,-6.9e+07,1.8e+07,-8.2e+07,4.47e+08,-4.01e+08,-3.86e+08,-3e+07,4.4e+07,-1.95e+08,-6.26e+08,3.36e+08,-5.19e+08,8.55e+08,-2.249e+09,3.104e+09,-1.13e+08,1.28e+08,-5.1e+07,-4.7e+07,-97999999.9999999,-5e+06,-1.03e+08,7.55e+08,2.1373e+10,3.44e+08,0.23636,0.21831,-0.03744,-0.01504,-0.0024,-4.14458,1.09508,5.26536,0.61832,-0.12462,-0.12425,3.32883,3.6967,0.51652,0.00039,0.01104,25.87285,40.3595
"43","2020_Q4",19.57765625,"Up",2.545e+09,-1.789e+09,7.56e+08,-4.1e+07,-4.1e+07,-4.1e+07,7.15e+08,-2.38e+08,-2.26e+08,-2.9e+08,6.4e+07,2e+06,-1.4e+07,4.77e+08,-9.93e+08,-8.49e+08,-9e+07,-5.16e+08,1.47e+08,-1.12e+08,-4.81e+08,-4.81e+08,1.48e+08,-3.33e+08,-3.33e+08,1.889e+09,1.505e+09,3.84e+08,1.404e+09,1.404e+09,4.74e+08,2.118e+09,1e+08,8.97e+08,1.121e+09,5.885e+09,2.2287e+10,3.0422e+10,-8.135e+09,4.835e+09,1.059e+09,6.14e+08,3.36e+08,7.87e+08,2.039e+09,2.8382e+10,3.4267e+10,2.806e+09,1.103e+09,2.64e+08,1.439e+09,1.841e+09,1.841e+09,1.13e+09,5.19e+08,5.777e+09,1.9505e+10,1.9505e+10,4.045e+09,9.26e+08,3.119e+09,2.355e+10,2.9327e+10,7.488e+09,8e+06,7.48e+09,-1.858e+09,-9.98e+08,-2.628e+09,2.004e+09,2.936e+09,4.94e+09,3.4267e+10,-4.81e+08,2.64e+08,8.25e+08,-3.96e+08,1.221e+09,6.59e+08,-1e+07,3.1e+07,-1.7e+07,6.55e+08,1.267e+09,-3.03e+08,-3.03e+08,-1.3e+07,-3e+06,-1.79e+08,-4.95e+08,-1.26e+08,2.24e+08,-3.5e+08,-2.688e+09,2.338e+09,-2.79e+08,-5.01e+08,2.71e+08,-1000000.00000001,2.7e+08,4e+06,2.74e+08,9.79e+08,2.1346e+10,1.188e+09,0.29705,0.28094,-0.13084,-0.06741,-0.00972,-3.56757,1.01869,5.93664,0.62293,-0.50075,-0.50531,3.82707,3.01353,1.78647,-0.00781,0.03917,19.87436,27.21259
"44","2021_Q1",25.225737704918,"Up",2.56e+09,-1.654e+09,9.06e+08,-4.6e+07,-4.6e+07,-4.6e+07,8.6e+08,-2.03e+08,-2.27e+08,-2.97e+08,7e+07,3.5e+07,-1.1e+07,6.57e+08,-77999999.9999999,-9e+06,2.2e+07,5.79e+08,-1.61e+08,-1.7e+07,4.01e+08,4.04e+08,-8.3e+07,3.21e+08,3.21e+08,1.424e+09,1.089e+09,3.35e+08,1.3e+09,1.3e+09,4.61e+08,2.229e+09,1.02e+08,1.104e+09,1.023e+09,5.414e+09,2.2826e+10,3.1298e+10,-8.472e+09,6.363e+09,1.061e+09,8.27e+08,2.88e+08,8.35e+08,2.101e+09,2.9189e+10,3.4603e+10,2.827e+09,1.156e+09,1.91e+08,1.48e+09,1.43e+09,1.43e+09,1.105e+09,6.67e+08,5.362e+09,1.8451e+10,1.8451e+10,5.198e+09,1.1e+09,3.241e+09,2.3649e+10,2.9011e+10,7.569e+09,8e+06,7.561e+09,-1.858e+09,-6.8e+08,-2.397e+09,2.634e+09,2.958e+09,5.592e+09,3.4603e+10,4.01e+08,2.65e+08,1.05e+08,1.09e+08,-4e+06,-1.03e+08,8.8e+07,-5e+06,-8.8e+07,-9.8e+07,6.68e+08,-6.35e+08,-6.35e+08,8.6e+07,1.28e+08,1.4e+08,-4.09e+08,-6.89e+08,-6.43e+08,-4.6e+07,-2.297e+09,2.251e+09,1.9e+07,-7.65e+08,-5.06e+08,-5.7e+07,-5.63e+08,9e+06,-5.54e+08,1.125e+09,1.9881e+10,5.48e+08,0.35391,0.33594,0.12539,0.0574,0.00928,1.70717,1.0097,5.18795,0.57455,0.48271,0.47415,3.84962,3.9609,0.82406,0.01356,0.01787,16.40622,21.46163
"45","2021_Q2",25.1720634920635,"Down",2.635e+09,-1.971e+09,6.64e+08,-4.6e+07,-4.6e+07,-4.6e+07,6.18e+08,-1.3e+08,-1.22e+08,-1.9e+08,6.8e+07,-3.5e+07,2.7e+07,4.88e+08,-4.79e+08,-4.73e+08,-5e+06,9e+06,-8e+06,-3e+07,-2.9e+07,-2.9e+07,-1.19e+08,-1.48e+08,-1.48e+08,2.073e+09,1.886e+09,1.87e+08,1.342e+09,1.342e+09,4.46e+08,2.376e+09,1.05e+08,1.218e+09,1.053e+09,6.237e+09,2.2498e+10,3.084e+10,-8.342e+09,6.468e+09,1.146e+09,7.97e+08,2.35e+08,7.85e+08,2.273e+09,2.8966e+10,3.5203e+10,2.518e+09,8.32e+08,2.27e+08,1.459e+09,1.505e+09,1.505e+09,9.98e+08,6.99e+08,5.021e+09,1.8379e+10,1.8379e+10,5.102e+09,1.136e+09,3.11e+09,2.3481e+10,2.8502e+10,7.249e+09,8e+06,7.241e+09,-1.85e+09,-8.28e+08,-2.237e+09,3.377e+09,3.324e+09,6.701e+09,3.5203e+10,-2.9e+07,2.75e+08,5.93e+08,2.1e+07,5.72e+08,-5.86e+08,-7.9e+07,1.4e+07,-3.37e+08,-1.84e+08,2.53e+08,-4.63e+08,-4.63e+08,12051896.8417982,164251871.549138,7.6e+07,-3.87e+08,-1.4e+07,-1e+06,-1.3e+07,-3.27e+08,3.14e+08,9e+07,9.93e+08,8.59e+08,-5.8e+07,8.01e+08,-2.2e+07,7.79e+08,8.93e+08,1.9884e+10,-1.48e+08,0.25199,0.23454,-0.05617,-0.02209,-0.0042,1,1.24218,4.2534,0.56484,-0.22222,-0.22222,3.95646,3.5045,-0.22222,-0.00151,-0.00467,19.94513,28.82039
"46","2021_Q3",23.303125,"Down",2.7e+09,-1.972e+09,7.28e+08,-4.5e+07,-4.5e+07,-4.5e+07,6.83e+08,1.3e+07,-1.64e+08,-2.37e+08,7.3e+07,-2e+06,1.79e+08,6.96e+08,-8.26e+08,-8.72e+08,6.4e+07,-1.3e+08,5.9e+07,-1e+07,-8.1e+07,-7.3e+07,1.05e+08,32000000.0000001,32000000.0000001,1.495e+09,1.213e+09,2.82e+08,1.374e+09,1.374e+09,4.45e+08,2.216e+09,1.14e+08,8.3e+08,1.272e+09,5.53e+09,2.2582e+10,3.0552e+10,-7.97e+09,6.615e+09,1.11e+09,9e+08,3e+08,7.93e+08,2.301e+09,2.9197e+10,3.4727e+10,2.281e+09,9.48e+08,1.99e+08,1.134e+09,1.345e+09,1.345e+09,7.11e+08,5.72e+08,4.337e+09,1.8664e+10,1.8664e+10,5.18e+09,1.121e+09,3.259e+09,2.3844e+10,2.8181e+10,7.219e+09,8e+06,7.211e+09,-1.85e+09,-8e+08,-2.347e+09,3.265e+09,3.281e+09,6.546e+09,3.4727e+10,-7.7e+07,2.63e+08,7.56e+08,-9.4e+07,8.5e+08,-5.91e+08,-4.1e+07,-7e+06,4.5e+07,-5.88e+08,3.51e+08,-6.24e+08,-6.24e+08,-2.3e+07,5.8e+07,-1.11e+08,-7.58e+08,-1.59e+08,6.7e+07,-2.26e+08,-6.19e+08,3.93e+08,-49999999.9999999,-3.11e+08,-7.18e+08,1.2e+08,-5.98e+08,1.8e+07,-5.8e+08,9.46e+08,2.0009e+10,-3.28e+08,0.26963,0.25296,0.01185,0.00489,0.00092,-10.25,1.27507,4.30507,0.57618,0.04805,0.04805,4.05405,3.33634,-0.49249,0.00416,-0.01034,19.57082,27.10688
"47","2021_Q4",23.455,"Up",3.036e+09,-2.276e+09,7.6e+08,-3.9e+07,-3.9e+07,-47562805.9792771,7.21e+08,-1.06e+08,-1.71e+08,-2.42e+08,7.1e+07,2.9e+07,3.6e+07,6.15e+08,-2.9e+07,-655918799.13208,87663739.4656951,5.86e+08,-1.26e+08,2.5e+07,4.85e+08,4.85e+08,-1.42e+08,3.43e+08,3.43e+08,1.581e+09,1.411e+09,1.7e+08,1.4e+09,1.4e+09,5.77e+08,2.132e+09,1.33e+08,8.6e+08,1.139e+09,5.69e+09,2.2788e+10,3.09e+10,-8.112e+09,6.552e+09,1.11e+09,9.28e+08,3.14e+08,7.81e+08,2.23e+09,2.934e+10,3.503e+10,2.525e+09,1.015e+09,2.2e+08,1.29e+09,1.494e+09,1.494e+09,6.39e+08,5.55e+08,4.658e+09,1.8517e+10,1.8517e+10,5.157e+09,1.144e+09,3.214e+09,2.3674e+10,2.8332e+10,7.107e+09,8e+06,7.099e+09,-1.846e+09,-4.57e+08,-2.365e+09,3.482e+09,3.216e+09,6.698e+09,3.503e+10,4.85e+08,2.57e+08,7e+07,-88457367.5330603,623904239.220416,-3.7e+07,9469944.2781762,-8128485.79085688,142042351.37427,-583168826.962131,7.75e+08,-6.26e+08,-6.26e+08,2.1e+07,-5.8e+07,2.2e+07,-5.83e+08,2.9e+07,110125130.311065,14001533.1673225,-1063549018.96621,1077550552.13353,9.26e+08,-1.61e+08,3.1e+07,-6.2e+07,-3.1e+07,-2.1e+07,-5.2e+07,9.78e+08,2.0011e+10,4.41e+08,0.25033,0.23748,0.11298,0.05121,0.00979,1.28571,1.22155,4.22992,0.57125,0.52,0.4831,4.60268,3.69761,0.66857,0.01393,0.01384,18.84458,25.56172
"48","2022_Q1",21.9625806451613,"Down",2.77e+09,-2.211e+09,5.59e+08,-3.6e+07,-3.6e+07,-51221785.6231764,5.23e+08,-5e+07,-1.56e+08,-2.42e+08,8.6e+07,-2000000.00000001,1.08e+08,4.73e+08,-2.002e+09,-211621053.993142,48131470.5690787,-1.529e+09,2.08e+08,-9e+06,-1.33e+09,-1.334e+09,6.98e+08,-6.36e+08,-6.36e+08,1.175e+09,9.43e+08,2.32e+08,1.418e+09,1.418e+09,6.04e+08,2.159e+09,1.42e+08,8.16e+08,1.201e+09,5.356e+09,1.9906e+10,2.8392e+10,-8.486e+09,7.701e+09,1.177e+09,1.45e+09,4.09e+08,1.08e+09,3.585e+09,2.7607e+10,3.2963e+10,2.806e+09,1.153e+09,1.82e+08,1.205e+09,1855241354.23683,1855241354.23683,5.59e+08,5.59e+08,3.365e+09,1.8699e+10,18191306661.8919,5.075e+09,9.77e+08,4.098e+09,2.3774e+10,2.7139e+10,7.952e+09,8e+06,6970168371.93458,-1.845e+09,-1.089e+09,-2.22e+09,2.798e+09,3.026e+09,5.824e+09,3.2963e+10,-1.33e+09,2.61e+08,1.74e+09,-42218324.7937656,312866334.049356,-1.48e+08,-8210035.45934242,-2736309.1396362,-44727594.5800104,-214116526.248629,5.23e+08,-4.03e+08,-4.03e+08,-5.61e+08,9.5e+07,-4.14e+08,-1.378e+09,4.59e+08,325888719.28886,520719157.470114,-1028840284.79668,1549559442.26679,-1.042e+09,3.31e+08,-5.24e+08,5.5e+07,-4.69e+08,-2.1e+07,-4.9e+08,7.84e+08,1.8699e+10,24999999.9999999,0.20181,0.18881,-0.2296,-0.1092,-0.01929,-0.0393100000000004,1.59168,4.65986,0.56727,-0.9642,-0.89577,4.19942,4.24187,0.0378999999999998,-0.01811,0.00084,22.35204,33.50669
"49","2022_Q2",21.3566129032258,"Down",2.852e+09,-2.322e+09,5.3e+08,-5.2e+07,-5.2e+07,-5.2e+07,4.78e+08,-2.08e+08,-1.83e+08,-2.58e+08,7.5e+07,-1.9e+07,-6e+06,2.7e+08,-6e+06,-1000000.00000024,999999.999999955,2.64e+08,-6e+07,-3.3e+07,1.71e+08,1.71e+08,-5.6e+07,1.15e+08,1.15e+08,1.496e+09,1.056e+09,4.4e+08,1.523e+09,1.523e+09,6.88e+08,2.435e+09,9.1e+07,9e+08,1.444e+09,6.142e+09,2.0453e+10,2.9187e+10,-8.734e+09,8.053e+09,1.182e+09,1.585e+09,3.85e+08,1.081e+09,2.661e+09,2.8506e+10,3.4648e+10,2.921e+09,1.288e+09,1.99e+08,1.434e+09,2.254e+09,2.254e+09,5.78e+08,5.78e+08,5.753e+09,1.7998e+10,1.7998e+10,5.049e+09,1.035e+09,3.275e+09,2.3047e+10,2.88e+10,6.911e+09,8e+06,6.903e+09,-1.832e+09,-9.74e+08,-1.899e+09,3.044e+09,2.804e+09,5.848e+09,3.4648e+10,1.71e+08,2.7e+08,2.04e+08,-6999999.99999997,2.11e+08,-1.88e+08,-7.7e+07,-4.4e+07,-1.24e+08,5.7e+07,4.57e+08,-9.02e+08,-9.02e+08,-925191444.718683,225887866.498306,-2.51e+08,-1.153e+09,1.371e+09,4.78e+08,8.93e+08,-8.17e+08,1.71e+09,-4.48e+08,8.18e+08,1.22e+08,-6.4e+07,5.8e+07,2e+07,7.8e+07,7.48e+08,2.0252e+10,-2.82e+08,0.18583,0.1676,0.04032,0.01966,0.00332,-2.45217,1.06762,4.92476,0.58451,0.17286,0.17241,4.28703,3.31598,-0.42389,0.00706,-0.00905,25.07487,39.23849
"50","2022_Q3",23.38125,"Up",3.078e+09,-2.515e+09,5.63e+08,-4.6e+07,-4.6e+07,-4.6e+07,5.17e+08,-1.92e+08,-1.84e+08,-2.79e+08,9.5e+07,-4.9e+07,4.1e+07,3.25e+08,-4.85e+08,-4.82e+08,-2e+06,-1.6e+08,1.9e+07,5e+06,-1.36e+08,-1.36e+08,-42999999.9999999,-1.79e+08,-1.79e+08,1.67e+09,1.075e+09,5.95e+08,1.675e+09,1.675e+09,8.71e+08,2.707e+09,1.82e+08,8.44e+08,1.681e+09,6.923e+09,2.0753e+10,2.914e+10,-8.387e+09,8.394e+09,1.179e+09,1.646e+09,3.95e+08,1.098e+09,4.076e+09,2.9147e+10,3.607e+10,3.24e+09,1.685e+09,2.14e+08,1.341e+09,2574025937.28951,2574025937.28951,5.47e+08,5.47e+08,3.787e+09,2.1376e+10,18204830014.3244,4.881e+09,1.086e+09,3.795e+09,2.6257e+10,3.0044e+10,6.932e+09,8e+06,6.924e+09,-1.832e+09,-1.153e+09,-1.79e+09,2.995e+09,3.031e+09,6.026e+09,3.607e+10,-1.36e+08,2.64e+08,5.83e+08,-3.6e+07,6.19e+08,-3.03e+08,-1.85e+08,-1.83e+08,2.75e+08,-2.1e+08,4.08e+08,-1.05e+09,-1.05e+09,-1.06e+08,1000000.00000006,-2.74e+08,-1.43e+09,1.094e+09,3.53e+08,7.41e+08,-6.81e+08,1.422e+09,1.18e+08,1.106e+09,8.4e+07,4.3e+07,1.27e+08,-3.8e+07,8.9e+07,7.81e+08,2.1376e+10,-5.91e+08,0.18291,0.16797,-0.05815,-0.0297,-0.00496,3.30168,1.8281,4.98573,0.59263,-0.26907,-0.26837,4.62674,3.24233,-0.88837,-0.00226,-0.01831,25.23175,38.11605
