"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"41","2020_Q2",112.481904761905,"Down",1.0635e+10,-7.266e+09,3.369e+09,-1.79e+09,-1.121e+09,-3.56e+08,-3.13e+08,1.579e+09,-6.6e+07,-2.88e+08,2.22e+08,1.513e+09,1.513e+09,-4.25e+08,5e+06,1.093e+09,1.093e+09,-1e+06,1.092e+09,1.092e+09,7.123e+09,7.123e+09,7.834e+09,7.834e+09,1.1748e+10,1.0881e+10,1.761e+09,9.12e+09,3.7586e+10,1.2488e+10,1.196e+09,2.4624e+10,1.478e+09,6.14e+09,1.426e+09,1.558e+10,3.8308e+10,7.5894e+10,1.0566e+10,5.769e+09,4.797e+09,1.2581e+10,3.369e+09,1.295e+09,2.074e+09,2.6516e+10,1.5371e+10,1.9768e+10,6.333e+09,1.3435e+10,3.5139e+10,6.1655e+10,6.046e+09,-2.5341e+10,3.5504e+10,-2.012e+09,1.4197e+10,4.2e+07,1.4239e+10,7.5894e+10,1.093e+09,6.14e+08,3e+08,2.8e+08,-8.77e+08,5e+08,-5.41e+08,9e+07,-9.26e+08,1.13e+09,-3.32e+08,2.16e+08,2.16e+08,-5.48e+08,-1.12e+08,6.8e+07,-1.8e+08,-3.5e+07,-3.5e+07,2.66e+08,-2.13e+08,-5.67e+08,-4e+07,-4e+07,-1.066e+09,-2.3e+07,-3.26e+08,-1.999e+09,-1.082e+09,-1.082e+09,-8e+07,-1.162e+09,2.193e+09,2.7952e+10,1.409e+09,0.31678,0.14847,0.10268,0.07669,0.01439,1.29029,1.41748,4.33001,0.3683,1.99707,1.98149,19.44952,25.96379,2.57681,1.03694,5,0.02678,0.02274,0.51923,9.49795,13.19126
"42","2020_Q3",134.32171875,"Up",9.997e+09,-7.113e+09,2.884e+09,-1.951e+09,-1.179e+09,-3.41e+08,-4.31e+08,9.33e+08,-2.55e+08,-2.84e+08,28999999.9999999,6.78e+08,6.78e+08,-2.27e+08,8e+06,4.59e+08,4.59e+08,-1e+06,4.58e+08,4.58e+08,8.784e+09,8.784e+09,7.134e+09,7.134e+09,1.1371e+10,1.0573e+10,1.792e+09,8.781e+09,3.7862e+10,1.2357e+10,1.167e+09,2.518e+10,1.42e+09,6.192e+09,1.459e+09,1.6109e+10,3.8704e+10,7.6566e+10,1.1541e+10,5.083e+09,5.9e+09,1.0307e+10,3.383e+09,1.227e+09,2.156e+09,2.5231e+10,1.7178e+10,2.038e+10,6.285e+09,1.4095e+10,3.7558e+10,6.2789e+10,6.12e+09,-2.5412e+10,3.4841e+10,-1.815e+09,1.3734e+10,4.3e+07,1.3777e+10,7.6566e+10,4.59e+08,6.08e+08,2.1e+08,2.62e+08,1.14e+08,6.76e+08,3.96e+08,-7.45e+08,-2.13e+08,1.391e+09,-2.84e+08,1.66e+08,1.66e+08,-4.5e+08,-1.06e+08,8.3e+07,-1.89e+08,-999999.999999993,-1.4e+07,-1.39e+08,-5.3e+08,-5.58e+08,-4.37e+08,-4.37e+08,-74000000.0000002,1.3e+07,1.855e+09,7.86e+08,1.647e+09,1.647e+09,1.4e+07,1.661e+09,1.541e+09,2.7485e+10,1.598e+09,0.28849,0.09333,0.04581,0.03324,0.00598,3.48908,1.50061,4.55752,0.35897,0.84471,0.8399,18.43785,25.33014,2.94725,1.02914,5,0.01648,0.02592,1.21834,12.13563,20.04394
"43","2020_Q4",163.104375,"Up",9.881e+09,-6.919e+09,2.962e+09,-1.84e+09,-1.126e+09,-3.44e+08,-3.7e+08,1.122e+09,-2.59e+08,-2.73e+08,1.4e+07,8.63e+08,8.63e+08,-1.87e+08,-5e+06,6.71e+08,6.71e+08,-3e+06,6.68e+08,6.68e+08,9.315e+09,9.315e+09,6.969e+09,6.969e+09,1.1453e+10,1.0797e+10,1.831e+09,8.966e+09,3.8534e+10,1.2232e+10,1.149e+09,2.4826e+10,1.363e+09,6.304e+09,1.44e+09,1.5719e+10,3.8207e+10,7.6741e+10,1.1169e+10,5.193e+09,5.976e+09,1.0622e+10,3.187e+09,1.209e+09,1.978e+09,2.4978e+10,1.6365e+10,2.0404e+10,6.254e+09,1.415e+10,3.6769e+10,6.1747e+10,6.204e+09,-2.5315e+10,3.5508e+10,-1.448e+09,1.4949e+10,4.5e+07,1.4994e+10,7.6741e+10,6.71e+08,5.93e+08,3.16e+08,3.22e+08,1.54e+08,2.97e+08,6e+06,5.9e+07,-2.08e+08,1.734e+09,-3.25e+08,1.68e+08,1.68e+08,-4.93e+08,-5.5e+07,8.8e+07,-1.43e+08,-4.4e+07,-4.4e+07,2.08e+08,-2.16e+08,-5.58e+08,-1.661e+09,-1.661e+09,1.2e+08,1.2e+08,1.099e+09,-1e+09,5.18e+08,5.18e+08,1e+07,5.28e+08,1.715e+09,2.6987e+10,1.731e+09,0.29977,0.11355,0.0676,0.04455,0.0087,2.59132,1.54272,4.11811,0.35166,1.23088,1.22121,18.20711,27.54561,3.18961,1.02819,5,0.01965,0.02775,0.83533,10.30437,15.75045
"44","2021_Q1",200.296393442623,"Up",1.1235e+10,-7.784e+09,3.451e+09,-1.943e+09,-1.216e+09,-3.74e+08,-3.53e+08,1.508e+09,-5.67e+08,-2.58e+08,-3.09e+08,9.41e+08,9.41e+08,-1.67e+08,6e+06,7.8e+08,7.8e+08,4.65661287307739e-10,7.8e+08,7.8e+08,9.352e+09,9.352e+09,7.317e+09,7.317e+09,1.1402e+10,1.1393e+10,1.93e+09,9.463e+09,3.9464e+10,1.2401e+10,1.3407e+10,1.3052e+10,1.308e+09,6.394e+09,1.523e+09,3.827e+09,3.886e+10,7.8324e+10,1.1428e+10,6.128e+09,4.738e+09,9.734e+09,4.555e+09,1.108e+09,3.447e+09,2.5717e+10,1.625e+10,2.0979e+10,6.872e+09,1.4107e+10,3.7229e+10,6.2946e+10,6.23e+09,-2.5178e+10,3.5167e+10,-8.88e+08,1.5331e+10,4.7e+07,1.5378e+10,7.8324e+10,7.8e+08,6.17e+08,4.83e+08,5.19e+08,1.92e+08,-3.1e+07,1.05e+08,6.94e+08,-5.76e+08,2.072e+09,-4.02e+08,2.22e+08,2.22e+08,-6.24e+08,-2e+07,1.06e+08,-1.26e+08,-6e+06,-1.8e+07,-97999999.9999999,-5.26e+08,-5.6e+08,-6.66e+08,-6.66e+08,1.19e+08,1.19e+08,-4.35e+08,-1.542e+09,4e+06,4e+06,4.3e+07,4.7e+07,2.125e+09,2.5984e+10,2.082e+09,0.30717,0.13422,0.06943,0.05072,0.00996,2.66923,1.53455,4.09325,0.33175,1.43198,1.41561,20.62603,28.14577,3.82229,1.02809,7,0.02149,0.0334,0.71795,7.82682,11.02918
"45","2021_Q2",224.39746031746,"Up",1.1887e+10,-8.012e+09,3.875e+09,-1.936e+09,-1.239e+09,-3.74e+08,-3.23e+08,1.939e+09,5.8e+07,-2.67e+08,3.25e+08,1.997e+09,1.997e+09,-4.75e+08,9e+06,1.531e+09,1.531e+09,-1e+06,1.53e+09,1.53e+09,1.1342e+10,1.1342e+10,7.955e+09,7.955e+09,1.2149e+10,1.1135e+10,1.802e+09,9.333e+09,4.2581e+10,1.2132e+10,1.115e+09,2.4901e+10,1.246e+09,6.343e+09,1.391e+09,1.5921e+10,3.8148e+10,8.0729e+10,1.1551e+10,6.694e+09,4.857e+09,1.0523e+10,4.504e+09,1.168e+09,3.336e+09,2.6578e+10,1.6605e+10,2.0929e+10,6.698e+09,1.4231e+10,3.7534e+10,6.4112e+10,6.215e+09,-2.5049e+10,3.6697e+10,-1.29e+09,1.6573e+10,4.4e+07,1.6617e+10,8.0729e+10,1.531e+09,5.86e+08,5e+06,-1.04e+08,-1.94e+08,-5.43e+08,-6.57e+08,7.33e+08,2.73e+08,1.928e+09,-1.95e+08,3.09e+08,3.09e+08,-5.04e+08,-2.2e+07,1.26e+08,-1.48e+08,-3.58e+08,-3.86e+08,9.8e+07,-4.77e+08,-5.62e+08,1.659e+09,1.659e+09,6.5e+07,6.5e+07,-6.16e+08,5.46e+08,1.997e+09,1.997e+09,-1.2e+07,1.985e+09,2.525e+09,2.7128e+10,2.611e+09,0.32599,0.16312,0.12871,0.09207,0.01895,1.70654,1.60211,3.85822,0.33604,2.80015,2.77476,21.75512,30.33126,4.77855,1.02855,7,0.03235,0.04037,0.36732,6.25188,8.14131
"46","2021_Q3",203.47015625,"Down",1.2889e+10,-8.881e+09,4.008e+09,-2.103e+09,-1.364e+09,-4.46e+08,-2.93e+08,1.905e+09,-34999999.9999999,-2.36e+08,2.01e+08,1.87e+09,1.87e+09,-4.7e+08,1.4e+07,1.414e+09,1.414e+09,-1e+06,1.413e+09,1.413e+09,1.0831e+10,1.0831e+10,7.84e+09,7.84e+09,1.2672e+10,1.1603e+10,2.08e+09,9.523e+09,4.2946e+10,1.2014e+10,1.206e+09,2.5531e+10,1.176e+09,6.372e+09,1.455e+09,1.6528e+10,3.8751e+10,8.1697e+10,1.2844e+10,6.921e+09,5.315e+09,1.1327e+10,3.337e+09,1.157e+09,2.18e+09,2.7508e+10,1.6452e+10,2.0857e+10,6.581e+09,1.4276e+10,3.7309e+10,6.4817e+10,6.293e+09,-2.524e+10,3.6934e+10,-1.154e+09,1.6833e+10,4.7e+07,1.688e+10,8.1697e+10,1.414e+09,5.87e+08,43000000.0000001,8.4e+07,7.4e+07,2e+08,-5.22e+08,1.6e+08,2.36e+08,2.118e+09,-2.69e+08,3.27e+08,3.27e+08,-5.96e+08,-2.02e+08,1.5e+08,-3.52e+08,-12000000.0000001,-1.2e+07,-7.57e+08,-1.24e+09,-5.64e+08,-1.99e+08,-1.99e+08,-1.93e+08,5.8e+07,-4.46e+08,-1.402e+09,-5.24e+08,-5.24e+08,1.5e+07,-5.09e+08,2.492e+09,2.7779e+10,2.767e+09,0.31096,0.1478,0.10963,0.08371,0.0173,1.95824,1.56122,3.83987,0.34002,2.58602,2.56257,23.58895,30.8071,5.06406,1.03221,8,0.03018,0.04223,0.39915,6.80096,8.89659
"47","2021_Q4",197.7590625,"Down",1.2397e+10,-8.617e+09,3.78e+09,-2.005e+09,-1.34e+09,-4.27e+08,-2.38e+08,1.775e+09,0,-2.25e+08,2.25e+08,1.775e+09,1.775e+09,-3.68e+08,2.1e+07,1.428e+09,1.428e+09,-2e+06,1.426e+09,1.426e+09,9.446e+09,9.446e+09,7.647e+09,7.647e+09,1.3666e+10,1.1134e+10,2.215e+09,8.919e+09,4.1893e+10,1.1904e+10,1.273e+09,2.5714e+10,1.121e+09,6.353e+09,1.744e+09,1.6496e+10,3.8891e+10,8.0784e+10,1.2872e+10,7.218e+09,5.654e+09,9.582e+09,3.522e+09,1.203e+09,2.319e+09,2.5976e+10,1.7395e+10,2.0718e+10,6.395e+09,1.4323e+10,3.8113e+10,6.4089e+10,6.352e+09,-2.6608e+10,3.8361e+10,-1.44e+09,1.6665e+10,3e+07,1.6695e+10,8.0784e+10,1.428e+09,5.93e+08,-2.67e+08,1.22e+08,-1.4e+07,1.7e+07,-1.016e+09,3.39e+08,6.46e+08,1.74e+09,-3.46e+08,2.41e+08,2.41e+08,-5.87e+08,-2.86e+08,1.48e+08,-4.34e+08,-5.6e+07,-5.1e+07,3.13e+08,-3.75e+08,-6.07e+08,-1.36e+08,-1.36e+08,-1.372e+09,-1e+06,-6.31e+08,-2.746e+09,-1.381e+09,-1.381e+09,-1.2e+07,-1.393e+09,2.368e+09,2.6977e+10,2.376e+09,0.30491,0.14318,0.11503,0.08541,0.01765,1.6662,1.61276,3.83881,0.33394,2.64711,2.62809,23.01281,30.93559,4.41062,1.12679,8,0.03157,0.0369,0.42567,7.40329,9.87662
"48","2022_Q1",207.07435483871,"Up",1.3798e+10,-1.0003e+10,3.795e+09,-2.081e+09,-1.422e+09,-4.39e+08,-2.2e+08,1.714e+09,8.48e+08,-2.15e+08,1.063e+09,2.562e+09,2.562e+09,-4.29e+08,-1.3e+07,2.12e+09,2.12e+09,0,2.12e+09,2.12e+09,9.254e+09,9.254e+09,8.477e+09,8.477e+09,1.4038e+10,1.1686e+10,2.788e+09,8.898e+09,4.3455e+10,1.209e+10,1.3911e+10,1.3337e+10,1.042e+09,6.324e+09,1.84e+09,4.131e+09,3.9338e+10,8.2793e+10,1.4748e+10,8.154e+09,5.999e+09,5.395e+09,9.704e+09,1.132e+09,8.572e+09,2.9847e+10,1.6287e+10,2.0143e+10,5.592e+09,1.4551e+10,3.643e+10,6.6277e+10,6.398e+09,-2.7643e+10,3.9282e+10,-1.553e+09,1.6484e+10,3.2e+07,1.6516e+10,8.2793e+10,2.12e+09,5.86e+08,-7.81e+08,-7.19e+08,-5.13e+08,-9.33e+08,-3.91e+08,8.09e+08,2e+06,1.412e+09,-3.97e+08,3.88e+08,3.88e+08,-7.85e+08,-4.71e+08,3.61e+08,-8.32e+08,-2.8e+07,-4.1e+07,-9.6e+07,-9.92e+08,-5.99e+08,2.164e+09,2.164e+09,-1.033e+09,1.3e+07,-1.118e+09,-5.86e+08,-1.66e+08,-1.66e+08,-2e+07,-1.86e+08,2.3e+09,2.1682e+10,1.819e+09,0.27504,0.12422,0.15365,0.12836,0.02561,0.85802,1.45593,4.0129,0.26188,3.9354,3.90711,25.61351,30.59959,3.37665,1.11194,6,0.04661,0.03118,0.28255,5.40348,7.25088
"49","2022_Q2",209.081290322581,"Up",1.3589e+10,-9.559e+09,4.03e+09,-2.069e+09,-1.346e+09,-4.57e+08,-2.66e+08,1.961e+09,3.8e+07,-2.15e+08,2.53e+08,1.999e+09,1.999e+09,-4.69e+08,7e+06,1.537e+09,1.537e+09,9524525.9543522,1.537e+09,1.537e+09,6.526e+09,6.526e+09,9.135e+09,9.135e+09,1.5038e+10,1.1871e+10,2.868e+09,9.003e+09,4.257e+10,1.1932e+10,1.3869e+10,1.3905e+10,9.67e+08,6.293e+09,1.973e+09,4.672e+09,3.9706e+10,8.2276e+10,1.3482e+10,8.361e+09,5.121e+09,4.501e+09,1.1549e+10,1.515e+09,1.0034e+10,2.9532e+10,1.5641e+10,2.0006e+10,5.363e+09,1.4643e+10,3.5647e+10,6.5179e+10,6.281e+09,-2.8326e+10,4.082e+10,-1.71e+09,1.7065e+10,3.2e+07,1.7097e+10,8.2276e+10,1.537e+09,5.57e+08,-1.51e+08,-5.2e+07,-1.63e+09,-3.72e+08,-1.032e+09,4.52e+08,-6.78e+08,3.13e+08,-4.1e+08,2.69e+08,2.69e+08,-6.79e+08,-8.67e+08,5.71e+08,-1.438e+09,-8e+06,-8e+06,-2.8e+07,-1.313e+09,-5.95e+08,-1.016e+09,-1.016e+09,-8.48e+08,-2.8e+07,7.44e+08,-1.715e+09,-2.715e+09,-2.715e+09,-1.6e+07,-2.731e+09,2.518e+09,2.0142e+10,9.47e+08,0.29656,0.14431,0.11311,0.0899,0.01868,0.61614,1.44149,3.81231,0.24481,2.85317,2.83266,25.22554,31.67811,1.75794,1.10451,5,0.03724,0.01654,0.38712,5.40747,6.9434
"50","2022_Q3",185.11425,"Down",1.4247e+10,-9.975e+09,4.272e+09,-2.208e+09,-1.425e+09,-4.8e+08,-3.03e+08,2.064e+09,3.2e+07,-2.28e+08,2.6e+08,2.096e+09,2.096e+09,-4.27e+08,4e+06,1.673e+09,1.673e+09,30573577.8630566,1.673e+09,1.673e+09,6.014e+09,6.014e+09,8.393e+09,8.393e+09,1.5881e+10,1.1694e+10,2.772e+09,8.922e+09,4.1982e+10,1.1744e+10,1.3569e+10,1.3812e+10,8.89e+08,6.195e+09,2.121e+09,4.607e+09,3.9125e+10,8.1107e+10,1.4279e+10,8.092e+09,5.554e+09,5.002e+09,9.682e+09,1.732e+09,7.95e+09,2.8963e+10,1.663e+10,1.9755e+10,5.16e+09,1.4595e+10,3.6385e+10,6.5348e+10,6.464e+09,-2.9501e+10,4.1263e+10,-2.499e+09,1.5727e+10,3.2e+07,1.5759e+10,8.1107e+10,1.673e+09,5.53e+08,-8.3e+07,1.01e+08,9e+07,6.55e+08,-9.71e+08,-2.5e+07,4.31e+08,2.233e+09,-3.96e+08,1.99e+08,1.99e+08,-5.95e+08,-4.7e+07,6.33e+08,-6.8e+08,-2.7e+07,-2.8e+07,-1.05e+08,-5.75e+08,-5.92e+08,4.63e+08,4.63e+08,-1.072e+09,3.2e+07,-9.75e+08,-2.176e+09,-5.18e+08,-5.18e+08,9e+06,-5.09e+08,2.617e+09,2.1632e+10,2.738e+09,0.29985,0.14487,0.11743,0.10616,0.02063,1.63658,1.4495,4.14671,0.26671,3.10562,3.0833,26.447,29.19436,5.08261,1.09894,6,0.03964,0.04791,0.35386,5.9679,7.56686
