"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"40","2020_Q1",34.6517741935484,"Down",1.049e+09,-8.22e+08,2.27e+08,-5.3e+07,-6.3e+07,1e+07,1.74e+08,-4.6e+07,-4.7e+07,1e+06,0,1.28e+08,1.07e+08,-1.3e+07,9.4e+07,9.4e+07,-3.9e+07,5.5e+07,5.5e+07,2.87e+08,2.87e+08,2.42e+08,2.42e+08,3.51e+08,9.4e+07,2.3e+07,9.74e+08,8.17e+09,2.94e+09,2.365e+09,5.75e+08,1.1198e+10,1.2172e+10,4.38e+08,4.37e+08,1e+06,2.27e+08,2.27e+08,6.65e+08,3.957e+09,3.957e+09,1.913e+09,1.246e+09,6.67e+08,5.87e+09,6.535e+09,1.305e+09,2e+06,1.303e+09,1.958e+09,-3.66e+08,2.897e+09,2.74e+09,5.637e+09,1.2172e+10,9.4e+07,2.12e+08,1.08e+08,4e+06,3.3e+07,7.1e+07,-1.12e+08,7.3e+07,-4.3e+07,-5000000.00000001,-1.37e+08,3.02e+08,-9.3e+07,1.4e+07,1.4e+07,-1.07e+08,-1.07e+08,-1.5e+07,-1.08e+08,-6.5e+07,-8.8e+07,2e+06,-1.2e+07,-9.3e+08,-7.36e+08,-7.36e+08,4e+06,-7.32e+08,3.86e+08,3.957e+09,1.94e+08,0.2164,0.16587,0.05243,0.00975999999999999,0.00452,3.52727,1.46466,1.1593,0.32509,0.25322,0.25126,4.82965,13.33794,0.89319,0.29926,7,0.01043,0.01686,1.18182,9.50777,21.09195
"41","2020_Q2",26.8260317460317,"Down",9.71e+08,-7.67e+08,2.04e+08,-6e+07,-5.4e+07,-6e+06,1.44e+08,-4e+07,-4.3e+07,3e+06,1508795.60698119,1.04e+08,1.04e+08,-1.3e+07,9.1e+07,9.1e+07,-2.3e+07,6.8e+07,6.8e+07,7.53e+08,7.53e+08,2.51e+08,2.51e+08,3.79e+08,9.7e+07,1.9e+07,1.48e+09,7.938e+09,3.023e+09,2.346e+09,5.86e+08,1.0961e+10,1.2441e+10,6.36e+08,3.78e+08,1.9e+07,9.9e+07,9.9e+07,1.235e+09,3.958e+09,3.958e+09,1.845e+09,1.217e+09,6.28e+08,5.803e+09,7.038e+09,1.315e+09,2e+06,1.313e+09,1.961e+09,-4.4e+08,2.728e+09,2.675e+09,5.403e+09,1.2441e+10,9.1e+07,2.11e+08,-6e+07,7e+06,-5e+07,-1.7e+07,5e+07,-1.2e+07,-2.9e+07,-4.7e+07,1.38e+08,2.92e+08,-6.5e+07,2e+06,2e+06,-6.7e+07,-6.7e+07,-26105389.1611303,-6.5e+07,-6.5e+07,-9.7e+07,3e+06,-9.6e+07,2.42e+08,4.69e+08,4.69e+08,-3e+06,4.66e+08,3.55e+08,4.458e+09,3.53e+08,0.21009,0.1483,0.07003,0.01259,0.00547,5.19118,1.19838,1.30261,0.35833,0.31481,0.31394,4.49537,12.62963,1.63426,0.30093,6,0.01136,0.03016,0.95588,10.43662,25.72917
"42","2020_Q3",30.3659375,"Up",1.204e+09,-8.7e+08,3.34e+08,-5.7e+07,-5.1e+07,-6e+06,2.77e+08,-2.6e+07,-3.2e+07,3e+06,3e+06,2.51e+08,2.51e+08,-3.3e+07,2.18e+08,2.18e+08,-2.8e+07,1.9e+08,1.9e+08,5.63e+08,5.63e+08,2.5e+08,2.5e+08,2.73e+08,5e+07,3e+07,1.136e+09,7.791e+09,3.023e+09,2.346e+09,5.83e+08,1.0814e+10,1.195e+10,5.06e+08,3.89e+08,1.09e+08,1.09e+08,1.09e+08,6.15e+08,3.959e+09,3.959e+09,1.8e+09,1.175e+09,6.25e+08,5.759e+09,6.374e+09,1.302e+09,2e+06,1.3e+09,1.997e+09,-4.26e+08,2.873e+09,2.703e+09,5.576e+09,1.195e+10,2.18e+08,2.39e+08,-3.3e+07,6e+06,-4.6e+07,6999999.99999999,2e+06,999999.999999985,8e+07,4e+06,-8.3e+07,4.26e+08,-5.2e+07,-1.86264514923096e-09,-1.86264514923096e-09,-5.2e+07,-5.2e+07,-13446980.3081215,-5.2e+07,-6.4e+07,0,0,-999999.999999985,-5.65e+08,-1.91e+08,-1.91e+08,999999.999999998,-1.9e+08,5.16e+08,3.959e+09,4.99e+08,0.27741,0.23007,0.15781,0.03407,0.0159,2.62632,1.84715,1.14311,0.3313,0.88619,0.88537,5.61567,13.40019,2.32743,0.29851,5,0.02241,0.04402,0.33684,6.5814,12.25993
"43","2020_Q4",31.7396875,"Up",8.47e+08,-7.64e+08,8.3e+07,-4.5e+07,-4.9e+07,4e+06,3.8e+07,-4.7e+07,-4.8e+07,2e+06,-1e+06,-9e+06,-9e+06,1.3e+07,4e+06,4e+06,-3.2e+07,-2.8e+07,-2.8e+07,5.53e+08,5.53e+08,2.34e+08,2.34e+08,2.98e+08,8.6e+07,3.3e+07,1.171e+09,7.724e+09,3.036e+09,2.357e+09,5.93e+08,1.076e+10,1.1931e+10,5.7e+08,4.24e+08,3e+06,1.11e+08,1.11e+08,6.81e+08,3.96e+09,3.96e+09,1.815e+09,1.201e+09,6.14e+08,5.775e+09,6.456e+09,1.31e+09,2e+06,1.308e+09,1.905e+09,-3.88e+08,2.826e+09,2.649e+09,5.475e+09,1.1931e+10,4e+06,2.12e+08,4.1e+07,7e+06,2.2e+07,1.2e+07,-3.4e+07,1.8e+07,-2.2e+07,1e+06,-3.1e+07,2.23e+08,-8.5e+07,2e+06,2e+06,-8.7e+07,-8.7e+07,999999.999999996,-8.4e+07,-6.4e+07,1000000.00000001,1e+06,-8.7e+07,-1.5e+08,-1.1e+07,-1.1e+07,1e+06,-1e+07,2.5e+08,3.96e+09,1.18e+08,0.09799,0.04486,-0.03306,-0.00511,-0.00235,-4.21429,1.71953,1.17918,0.33191,-0.13048,-0.13041,3.94688,13.16869,0.54986,0.29823,4,0.0032,0.01049,-2.28571,13.628,89.65789
"44","2021_Q1",43.7918032786885,"Up",1.102e+09,-9.22e+08,1.8e+08,-2.7e+07,-5.2e+07,2.5e+07,1.53e+08,-3.6e+07,-3.8e+07,3e+06,-1e+06,1.17e+08,1.17e+08,2000000.00000001,1.19e+08,1.19e+08,-3.2e+07,8.7e+07,8.7e+07,6.83e+08,6.83e+08,2.65e+08,2.65e+08,2.87e+08,1.32e+08,3.5e+07,1.367e+09,7.632e+09,2.944e+09,2.374e+09,5.7e+08,1.0656e+10,1.2023e+10,4.24e+08,4.24e+08,-35068216.8663531,2.33e+08,2.33e+08,9.06e+08,3.712e+09,3.712e+09,1.802e+09,1.184e+09,6.18e+08,5.514e+09,6.42e+09,1.319e+09,2e+06,1.317e+09,1.927e+09,-3.2e+08,2.922e+09,2.681e+09,5.603e+09,1.2023e+10,1.19e+08,2.3e+08,1.4e+07,5e+06,7.45058059692383e-09,9e+06,-7.3e+07,-2.6e+07,-2e+06,2.7e+07,-7.2e+07,2.9e+08,-1.03e+08,0,0,-1.03e+08,-1.03e+08,5e+06,-9.8e+07,-6.5e+07,1e+06,1e+06,-5e+06,-6.9e+07,1.23e+08,1.23e+08,7e+06,1.3e+08,3.83e+08,3.961e+09,2.05e+08,0.16334,0.13884,0.07895,0.01553,0.00724,2.35632,1.50883,1.14581,0.32945,0.40541,0.40484,5.13514,13.61603,0.95527,0.30289,8,0.01337,0.01804,0.747129999999999,8.55875,21.42484
"45","2021_Q2",49.5571428571429,"Up",1.048e+09,-7.59e+08,2.89e+08,-5.3e+07,-5.5e+07,2e+06,2.36e+08,-3.7e+07,-4.8e+07,1.1e+07,-7686622.91561057,1.99e+08,1.93e+08,-1.8e+07,1.75e+08,1.75e+08,-2.4e+07,1.51e+08,1.51e+08,8.04e+08,8.04e+08,2.71e+08,2.71e+08,3.79e+08,3.5e+07,2.4e+07,1.489e+09,7.492e+09,2.939e+09,2.377e+09,5.62e+08,1.0522e+10,1.2011e+10,4.56e+08,4.51e+08,4999999.99999997,4.35e+08,4.35e+08,8.91e+08,3.713e+09,3.713e+09,1.737e+09,1.175e+09,5.62e+08,5.45e+09,6.341e+09,1.335e+09,2e+06,1.333e+09,2.013e+09,-3.05e+08,3.029e+09,2.641e+09,5.67e+09,1.2011e+10,1.75e+08,2.04e+08,-1.5e+07,8e+06,-1.2e+07,-1.1e+07,2.14e+08,-7e+06,-8.8e+07,3.6e+07,2.73e+08,5.78e+08,-7.1e+07,-1207298.74145896,-1207298.74145896,-7.1e+07,-7.1e+07,14364751.6679174,-7.1e+07,-6.5e+07,7e+06,7e+06,-7.4e+07,-3.87e+08,1.2e+08,1.2e+08,1e+06,1.21e+08,4.4e+08,3.713e+09,6.01e+08,0.27576,0.22519,0.14408,0.02663,0.01257,3.98013,1.67116,1.11834,0.30913,0.70265,0.69907,4.87669,14.09493,2.79665,0.30247,9,0.01942,0.05405,0.43046,6.61136,12.32627
"46","2021_Q3",47.0796875,"Down",1.588e+09,-1.085e+09,5.03e+08,-6.4e+07,-6e+07,-4e+06,4.39e+08,-3.7e+07,-4.6e+07,1.1e+07,-2e+06,4.02e+08,4.02e+08,-8.5e+07,3.17e+08,3.17e+08,-7.1e+07,2.46e+08,2.46e+08,7.77e+08,7.77e+08,4.01e+08,4.01e+08,2.9e+08,1.01e+08,3.3e+07,1.569e+09,7.437e+09,2.919e+09,2.378e+09,5.41e+08,1.0438e+10,1.2007e+10,5.45e+08,5.45e+08,32292710.7180314,98000000.0000001,98000000.0000001,6.43e+08,3.713e+09,3.713e+09,1.693e+09,1.156e+09,5.37e+08,5.406e+09,6.049e+09,1.359e+09,2e+06,1.357e+09,2.183e+09,-2.96e+08,3.246e+09,2.712e+09,5.958e+09,1.2007e+10,3.17e+08,2.43e+08,-1.49011611938477e-08,8e+06,-1.9e+07,1.1e+07,-4.32e+08,-1.3e+08,7.9e+07,4.9e+07,-4.3e+08,1.28e+08,-1.1e+08,-875281.102956705,-875281.102956705,-1.1e+08,-1.1e+08,1.1e+07,-1.11e+08,-6.5e+07,1.9e+07,1.9e+07,1.49011611938477e-08,-46000000.0000001,-2.9e+07,-2.9e+07,2e+06,-2.7e+07,6.82e+08,3.713e+09,2.25e+08,0.31675,0.27645,0.15491,0.04129,0.02049,0.91463,2.44012,1.01527,0.30924,1.14472,1.13889,7.38948,15.1047,1.047,0.30247,7,0.02737,0.0198,0.26423,4.30499,6.68793
"47","2021_Q4",61.741875,"Up",1.362e+09,-9.22e+08,4.4e+08,-5.7e+07,-5.2e+07,-5e+06,3.83e+08,-1.2e+07,-4.6e+07,1.5e+07,1.9e+07,3.71e+08,-1.37e+08,4.6e+07,-9.1e+07,-9.1e+07,-9.4e+07,-1.85e+08,-1.85e+08,7.57e+08,7.57e+08,3.86e+08,3.86e+08,4.18e+08,2.53e+08,5.2e+07,1.814e+09,7.21e+09,2.65e+09,2.116e+09,5.34e+08,9.952e+09,1.1766e+10,5.38e+08,5.37e+08,1e+06,4.77e+08,4.77e+08,1.015e+09,3.465e+09,3.465e+09,1.672e+09,1.16e+09,5.12e+08,5.137e+09,6.152e+09,1.372e+09,2e+06,1.37e+09,1.933e+09,-3.16e+08,2.938e+09,2.676e+09,5.614e+09,1.1766e+10,-9.1e+07,2.03e+08,4.79e+08,7e+06,6e+06,4.66e+08,9.6e+07,2.2e+07,-1.11e+08,-1.6e+07,2.01e+08,6.87e+08,-2.01e+08,144377.087023905,144377.087023905,-2.01e+08,-2.01e+08,1e+06,-2.01e+08,-6.5e+07,-4.4e+07,6e+06,-1.31e+08,-5.03e+08,-1.7e+07,-1.7e+07,-3e+06,-2e+07,5.86e+08,3.465e+09,4.35e+08,0.32305,0.2812,-0.13583,-0.03295,-0.01572,-2.35135,1.78719,1.09583,0.29449,-0.85927,-0.8549,6.32606,13.64608,2.02044,0.3019,6,-0.01116,0.04046,-0.35135,4.62116,7.0705
"48","2022_Q1",79.9622580645161,"Up",2.54e+09,-1.385e+09,1.155e+09,-1e+07,-5.6e+07,4.6e+07,1.145e+09,-3.4e+07,-4.3e+07,1e+07,-1e+06,1.111e+09,1.085e+09,-2.26e+08,8.59e+08,8.59e+08,-1.54e+08,7.05e+08,7.05e+08,1.628e+09,1.628e+09,4.97e+08,4.97e+08,4.08e+08,6e+07,5.6e+07,2.593e+09,7.081e+09,2.619e+09,2.091e+09,5.28e+08,9.782e+09,1.2375e+10,5.89e+08,5.65e+08,2.4e+07,8.43e+08,8.43e+08,1.432e+09,3.465e+09,3.465e+09,1.442e+09,1.029e+09,4.13e+08,4.907e+09,6.339e+09,1.377e+09,2e+06,1.375e+09,2.088e+09,-2.57e+08,3.206e+09,2.83e+09,6.036e+09,1.2375e+10,8.59e+08,2.38e+08,-1.16e+08,7e+06,-1.71e+08,4.8e+07,4.99e+08,-1.2e+08,-3e+06,7.3e+07,5.49e+08,1.48e+09,-1.31e+08,1e+06,1e+06,-1.32e+08,-1.32e+08,4.8e+07,-8.3e+07,-6.5e+07,-4.57e+08,3.2e+07,-4999999.99999994,-5.27e+08,8.7e+08,8.7e+08,1e+06,8.71e+08,1.383e+09,3.465e+09,1.977e+09,0.45472,0.45079,0.27756,0.1168,0.05697,2.80426,1.81075,1.0502,0.28,3.29902,3.35076,11.88582,15.00234,9.25129,0.30416,9,0.07036,0.18066,0.0922000000000001,1.32827,1.60437
"49","2022_Q2",96.6225806451613,"Up",2.868e+09,-1.17e+09,1.698e+09,-6.6e+07,-6.4e+07,-2e+06,1.632e+09,-1.8e+08,-2.05e+08,2.6e+07,-1e+06,1.452e+09,1.452e+09,-4.01e+08,1.051e+09,1.051e+09,-1.68e+08,8.83e+08,8.83e+08,2.617e+09,2.617e+09,6.79e+08,6.79e+08,4.88e+08,4.2e+07,4.2e+07,3.826e+09,6.906e+09,2.966e+09,2.091e+09,8.75e+08,9.956e+09,1.3782e+10,1.037e+09,6.29e+08,4.08e+08,6.92e+08,6.92e+08,2.228e+09,2.963e+09,2.963e+09,1.838e+09,1.028e+09,8.1e+08,4.801e+09,7.029e+09,1.484e+09,2e+06,1.482e+09,2.907e+09,-2.66e+08,4.002e+09,2.751e+09,6.753e+09,1.3782e+10,1.051e+09,2.08e+08,-2.7e+07,1e+07,-2e+06,-3.5e+07,1.59e+08,-1.85e+08,-6.6e+07,7.6e+07,3.34e+08,1.391e+09,-6.2e+07,1e+06,1e+06,-6.3e+07,-6.3e+07,9e+06,-6.2e+07,-6.4e+07,-1e+06,9.7e+07,-2.74e+08,-3.39e+08,9.9e+08,9.9e+08,-1e+06,9.89e+08,1.84e+09,3.462e+09,2.338e+09,0.59205,0.56904,0.30788,0.13076,0.06407,2.64779,1.71724,1.04087,0.2512,4.12617,4.09745,13.40187,18.70093,10.92523,0.29907,9,0.07857,0.19398,0.07248,0.45924,0.51777
"50","2022_Q3",95.116,"Down",3.389e+09,-1.398e+09,1.991e+09,-7.9e+07,-7.3e+07,-6e+06,1.912e+09,-4.6e+07,-7.4e+07,2.8e+07,0,1.866e+09,1.696e+09,-3.57e+08,1.339e+09,1.339e+09,-1.74e+08,1.165e+09,1.165e+09,2.37e+09,2.37e+09,7.24e+08,7.24e+08,4.97e+08,1.47e+08,7.5e+07,3.738e+09,6.622e+09,2.984e+09,2.09e+09,8.94e+08,9.685e+09,1.3423e+10,9.09e+08,8.06e+08,1.03e+08,1.88e+08,1.88e+08,1.097e+09,2.964e+09,2.964e+09,1.848e+09,1.025e+09,8.23e+08,4.812e+09,5.909e+09,1.476e+09,2e+06,1.474e+09,3.729e+09,-2.85e+08,4.589e+09,2.925e+09,7.514e+09,1.3423e+10,1.339e+09,2.23e+08,1.53e+08,1.2e+07,2e+06,1.39e+08,-8.26e+08,-5.4e+07,-3.3e+07,1.47e+08,-8.86e+08,8.89e+08,-6.6e+07,0,0,-6.6e+07,-6.6e+07,-1e+06,-5.9e+07,-8.3e+07,-4.75e+08,4e+06,0,-1.065e+09,-2.35e+08,-2.35e+08,-1.2e+07,-2.47e+08,2.135e+09,2.964e+09,1.6e+09,0.58749,0.56418,0.34376,0.15504,0.08679,1.37339,3.40747,0.7864,0.22082,5.59558,5.57683,16.27762,22.04131,7.68492,0.39866,8,0.10125,0.12981,0.07124,0.27822,0.31067
